time,x,y,z
2.033,-0.02,0.02,0.01
2.034,0.01,-0.01,0.01
2.035,-0.01,0.01,0.01
2.036,-0.03,0.01,0.00
2.038,0.01,-0.01,0.01
2.044,-0.01,0.00,-0.00
2.058,0.00,-0.02,0.01
2.060,0.02,-0.01,0.01
2.062,-0.00,0.01,0.01
2.063,-0.02,0.01,0.01
2.064,0.00,-0.00,0.01
2.093,0.01,-0.01,0.01
2.096,-0.00,0.02,-0.02
2.097,0.03,-0.00,0.01
2.098,-0.02,0.01,0.01
2.101,0.02,-0.00,0.02
2.102,-0.01,0.01,0.01
2.102,-0.02,-0.02,-0.01
2.103,0.01,-0.01,-0.01
2.104,-0.02,0.00,0.00
2.118,-0.01,0.01,-0.01
2.119,-0.02,0.01,0.00
2.120,-0.04,0.01,0.01
2.123,0.01,0.00,-0.01
2.126,0.01,-0.01,-0.02
2.149,0.01,-0.01,0.00
2.150,-0.01,0.01,-0.01
2.151,0.02,-0.01,-0.02
2.152,-0.02,0.00,-0.00
2.153,-0.00,-0.00,-0.00
2.156,-0.02,-0.00,-0.02
2.157,-0.00,-0.01,-0.02
2.161,0.01,-0.00,0.00
2.175,-0.02,0.00,-0.01
2.176,0.01,0.01,-0.02
2.177,0.03,-0.01,-0.02
2.178,-0.03,0.01,-0.02
2.196,0.02,-0.01,-0.01
2.198,-0.01,-0.00,-0.01
2.199,-0.00,-0.01,-0.02
2.200,0.00,0.02,-0.02
2.201,0.01,0.01,-0.02
2.205,-0.01,-0.01,-0.02
2.213,-0.01,-0.01,-0.03
2.236,-0.01,-0.00,-0.01
2.237,0.01,0.00,-0.03
2.238,-0.02,-0.01,-0.03
2.239,-0.00,0.01,-0.04
2.240,0.00,0.01,-0.03
2.241,-0.01,0.00,-0.01
2.242,0.01,-0.01,-0.03
2.246,0.01,-0.00,-0.04
2.260,0.02,-0.00,-0.04
2.260,-0.02,-0.00,-0.03
2.263,0.01,-0.02,-0.04
2.263,0.01,0.01,-0.04
2.293,0.01,-0.00,-0.04
2.294,0.01,0.01,-0.04
2.296,0.00,-0.01,-0.04
2.300,0.02,-0.01,-0.02
2.300,0.02,-0.02,-0.04
2.302,-0.02,0.00,-0.05
2.303,-0.01,-0.01,-0.05
2.303,-0.00,-0.00,-0.04
2.304,0.03,-0.02,-0.04
2.318,-0.00,0.01,-0.03
2.319,0.00,-0.00,-0.04
2.320,0.01,0.02,-0.04
2.320,0.03,0.01,-0.05
2.325,-0.00,0.01,-0.04
2.329,0.01,0.00,-0.05
2.340,-0.01,0.01,-0.04
2.341,-0.02,-0.00,-0.05
2.343,-0.04,0.01,-0.04
2.365,-0.02,0.02,-0.05
2.366,0.00,-0.00,-0.04
2.367,-0.01,0.03,-0.04
2.368,-0.01,0.01,-0.04
2.369,-0.00,0.01,-0.03
2.370,0.02,0.00,-0.03
2.373,-0.01,-0.00,-0.04
2.378,-0.01,-0.01,-0.05
2.391,0.01,-0.01,-0.04
2.392,-0.01,-0.00,-0.02
2.393,0.01,0.01,-0.02
2.396,-0.02,0.01,-0.05
2.421,-0.01,-0.02,-0.03
2.422,0.02,-0.02,-0.03
2.423,0.00,-0.01,-0.03
2.423,-0.04,0.01,-0.02
2.424,0.01,-0.00,-0.03
2.425,-0.01,-0.01,-0.03
2.426,0.03,-0.01,-0.03
2.442,0.01,-0.03,-0.03
2.443,0.02,-0.00,-0.04
2.444,0.01,-0.02,-0.02
2.445,-0.03,-0.00,-0.03
2.468,0.01,-0.02,-0.04
2.469,0.01,-0.00,-0.03
2.470,-0.01,-0.01,-0.04
2.470,-0.01,0.00,-0.03
2.471,0.02,-0.00,-0.03
2.472,0.00,0.01,-0.02
2.475,-0.01,-0.00,-0.02
2.479,0.00,-0.00,-0.03
2.492,0.02,0.01,-0.03
2.493,-0.00,0.01,-0.01
2.494,0.03,0.01,-0.01
2.498,0.01,0.00,0.00
2.520,-0.03,0.01,-0.01
2.521,-0.01,0.01,-0.00
2.521,-0.03,-0.00,0.00
2.522,0.03,0.01,-0.02
2.523,-0.00,0.01,0.00
2.524,0.01,0.01,-0.00
2.528,-0.01,0.01,0.01
2.552,0.00,-0.01,0.00
2.553,0.01,-0.03,-0.00
2.556,0.00,-0.01,0.02
2.557,-0.01,0.00,0.01
2.558,-0.02,-0.02,0.01
2.560,0.01,0.00,0.01
2.563,-0.01,0.01,0.00
2.568,0.02,-0.02,0.02
2.572,0.02,0.01,0.01
2.574,0.00,0.01,0.03
2.588,0.02,-0.01,0.02
2.589,0.00,0.01,0.01
2.590,0.01,-0.01,0.01
2.591,0.03,0.00,0.02
2.594,0.01,0.00,0.02
2.611,0.01,-0.01,0.03
2.614,0.03,0.01,0.00
2.615,-0.01,0.01,0.02
2.615,0.03,-0.00,0.03
2.616,-0.02,0.01,0.02
2.636,-0.00,-0.02,0.01
2.637,0.00,-0.01,0.02
2.637,0.00,-0.01,0.03
2.638,-0.01,-0.01,0.01
2.639,0.02,-0.01,0.02
2.642,-0.01,0.00,0.02
2.647,-0.00,-0.02,0.01
2.658,0.00,-0.01,0.02
2.659,0.02,-0.02,0.02
2.661,-0.01,-0.01,0.00
2.665,0.03,-0.03,0.01
2.676,-0.01,-0.02,0.02
2.678,0.00,-0.00,0.02
2.678,-0.01,-0.01,0.02
2.684,0.01,-0.01,-0.00
2.697,-0.01,-0.01,0.01
2.698,0.00,0.00,0.01
2.699,-0.00,0.02,0.01
2.700,0.04,0.01,0.01
2.705,-0.02,0.02,0.01
2.709,-0.01,0.00,0.02
2.716,-0.01,0.02,0.01
2.718,-0.01,0.02,0.02
2.722,-0.02,0.01,0.02
2.727,0.01,0.01,0.01
2.732,0.01,0.00,0.03
2.744,-0.02,0.03,0.00
2.745,0.00,0.00,0.02
2.747,0.02,0.01,0.03
2.749,-0.03,0.01,0.02
2.773,0.01,0.02,0.02
2.774,-0.01,0.01,0.04
2.774,-0.01,0.00,0.02
2.775,0.00,0.01,0.01
2.776,-0.01,0.01,0.02
2.776,0.01,-0.01,0.03
2.780,0.00,-0.01,0.02
2.794,0.02,0.00,0.02
2.796,-0.01,0.00,0.03
2.797,-0.01,-0.00,0.03
